Name,(R)-Lactate,Fumarate,L-Valine,Isoleucine,Isoleucine,Lysine,Glutamate,Glycerone phosphate,Arginine,myo-Inositol,Mannitol,3-Phosho-D-glycerate,D-glucose 6-phosphate,Inosine,N-Acetylneuraminate,AMP
020-04257,170363360,7233517,14161708,29765468,8602625,7075532,46221389,3676079,5064581,8511226,8942861,16127567,6408602,2932628,90174771,8414230
020-04264,223555328,16160870,21486440,41777796,13675900,2092860,65252600,1181354,4281805,16506515,19379359,5371122,478994,2841951,111619985,1928546
020-04277,212428259,11484026,22882646,55006379,15205415,4128391,46195830,3413806,5372736,10423063,19731673,14219010,3338104,3041158,133230885,4818753
020-04289,227941835,15282322,21657487,40679332,11526716,3636051,64657834,4091562,6165259,9764823,18920417,21834460,4881993,2934810,135687417,8301275
020-04308,160548507,10557760,16921327,34380514,9872869,1221677,47020915,2439292,3038346,7845970,7642434,10586705,1389671,2520775,116442054,2316304
020-04334,143342748,12185676,25086363,48198696,14789476,3946117,59483469,10619291,6411767,15265266,11078546,28702937,8785366,2560471,120322879,12293474
020-06020,201127296,13176823,21411165,36069476,11403542,24901603,66936182,1911492,9310587,9185806,11714828,8575234,1069888,1561588,36355390,1652880
020-08035,149175215,6100968,12110760,21275739,6797904,8555337,30802114,162364,3438122,6208519,9850574,1264093,664921,1829058,6031754,941485
020-08071,130235372,10534703,18563042,35783455,11272921,2751875,46043399,2849294,4018915,9771923,8680090,13831210,2829545,2275180,148476547,4307076
020-50005,227897211,12304271,24045821,55846978,13696754,2623560,57024605,8414360,5673005,9800649,11887843,18073807,11511962,3730243,103213480,9468453
020-50015,227294608,12409416,24565846,53628876,16263256,9306482,65457765,2376923,7613516,13006222,13326903,6933242,579901,1455315,135705938,1931412
020-50025,152873694,9913614,18200035,39881257,11103305,2648964,54549570,9219427,5035987,8338362,6177476,20592703,4622959,2112385,150704994,10874152
020-50051,141115331,10054893,13873691,26659777,7669376,4083237,48833429,1029702,4882938,6317297,9598981,6015381,491260,1872387,59398101,1426364
020-50053,257767605,13536610,32293363,73207815,21499923,14481157,72513313,6482714,10043428,18236898,14481757,19035860,8752895,3734913,107703990,8427083
020-50078,215295244,14371783,19863013,43835635,12126421,4807322,55061964,1952889,5584130,7835634,9265967,6746295,947460,2668334,138041991,2125949
020-50080,318683307,14128947,30701396,64578523,19292583,14465746,66281518,6618213,11200019,14539189,11949199,14961524,4637360,3591279,127928148,7284743
020-50093,209543301,14741838,23461327,41349682,13099990,18059881,61424323,6425523,8074922,14132938,21621946,23655253,6262167,3752898,107502415,8546759
020-50121,289212647,13903135,21720005,41036697,12401998,2940268,54548689,3883138,6829206,10312766,15933437,10496831,2955264,3429375,94001026,4651240
020-50162,163484850,10158183,13599879,25664190,7936658,2061055,48148888,1403060,3607427,11979915,12670548,11675135,2120559,2915424,107553691,4027070
020-50180,186243184,9413685,18200355,42293337,11912373,3308070,64170531,2861775,5777515,7151712,8446134,7614240,3269216,2604551,129334800,4115848
020-52011,224929058,14507997,14164009,26467821,8531385,4821407,61187532,909043,4204776,7363995,13810476,2482124,509804,1722614,112434585,945780
020-52031,276703396,12785381,20590274,39086812,11306384,6994105,61351653,1976631,8406250,10221720,13480475,8846223,1108043,3362224,123906026,2399225
020-52032,195179535,12393278,24771890,47598980,12322492,6221612,63715208,9032299,7549633,9601950,11671909,24786008,7165364,3800748,133778485,13879477
020-66006,195119427,11290362,18255685,37543001,10794086,2963938,61141379,6725034,6522368,11802721,15423267,19817723,6090704,4114542,115483099,9119648
020-66016,88677886,8141738,10154797,18205634,5740430,2982155,43562223,5840069,3225517,6276211,7659541,14207315,3009864,1933166,79031142,7989317
020-66017,309103020,13489177,26684998,51597146,17101002,9593214,66813722,1403799,9208399,13481655,16246663,4333080,646407,1609581,122674133,1374873
020-66104,190917553,16734089,22885319,46541508,12457825,1938392,58114567,6051758,4690447,9483349,15202118,14504848,4330613,3563660,118013765,7284427
020-66121,71248196,7161496,7572678,11352554,3821884,461874,43724027,1167699,1273841,4655649,5985301,8192728,534514,1935173,94998373,2015937
020-66123,177352252,11461324,15108868,30002527,7848047,5963609,55375603,5959986,5415334,6883637,10876466,8275314,5521920,1550830,135679634,5397391
020-66132,238552412,11581459,20805807,42077803,11020970,16220417,63950447,1666052,9600995,8099682,15033628,9221159,1684760,4020154,89088549,3877333
020-66156,121679029,8041922,12816860,23129958,7641852,500483,36419982,721224,1639819,5935733,10358993,3889903,288653,1321350,97665731,946998
020-66158,193385611,13593594,17906817,32532296,10186383,1773813,50108607,6461950,4453027,10880879,12471988,11971845,3095209,3365972,100734518,4808443
020-74002,342008917,16140328,36192440,85541225,24732153,14993523,65670770,5138717,10922934,13085678,21216864,15745233,9010986,2465322,161332548,6799337
020-74022,52347012,8441098,11449897,19681133,6162014,724933,44637616,1685574,1525793,4748900,8662803,5419731,895536,1651484,125045569,2592061
020-74023,403738840,10304950,23823387,54799510,15161417,22175243,59788510,1609829,9686179,12000996,6909402,9950998,2902608,2990852,37351019,2961394
020-74044,185465692,13678003,17899562,38789806,11118170,9713822,63603076,1941272,6634897,10543921,14154149,9176158,1282035,2250651,122321678,2847981
020-74049,214255063,16540350,20900767,38618192,12020103,3386932,66159607,2078759,4960112,11269611,15034545,16988351,1981933,2960490,125665325,3607940
020-74058,153227635,9315637,16060788,30583096,9908803,7430181,50660537,1012452,5284845,7957549,9593471,7814592,1057516,2247573,99811843,1975370
020-74090,149924183,9516171,16044229,31103302,9373486,2636318,51711385,3039081,5533683,9856964,7425923,10527986,1648424,2222092,104817127,2765792
020-74144,324785766,10508493,20414619,29031662,12254384,1538114,50629365,4998737,4952481,10148221,13005149,18905801,8928809,2109101,86307509,15327295
020-75009,252746739,14762493,26549307,59817097,16389654,2919038,63532971,4379025,6967981,13419413,18553063,15703819,3285780,3048396,138997685,4594874
020-75013,187565394,11465669,20672863,41840287,12243605,2439776,53666957,1334322,4934912,9411398,12768911,9961840,2067050,2901683,120388060,3887260
020-75014,210913658,14503852,26107054,54399095,15887814,2677001,73285386,8197988,5614457,10413082,15051159,18526356,6012750,3122937,142325436,9891719
