""	"mz"	"mzmin"	"mzmax"	"rt"	"rtmin"	"rtmax"	"npeaks"	"pbqc_test_data"	"pbQC001"	"pbQC002"	"pbQC003"	"pbQC004"	"pbQC005"	"isotopes"	"adduct"	"pcgroup"
"1163"	844.567919122153	844.567133892926	844.567979627591	368.486	367.337	375.537	3	3	150759.234375	169571.953125	173673.515625	161019.15625	2086.8837890625	"[92][M]-"	"[M-2H+K]- 807.598"	"12"
"1164"	844.567357391665	844.567226027523	844.567385404714	564.155	553.903	566.206	3	3	18301.708984375	32113.9375	34181.5546875	39846.77734375	75024.3515625	""	"[M-2H+K]- 807.596"	"91"
"1165"	845.572122441567	845.571444465325	845.572315460667	369.387	368.486	375.537	3	3	63044.31640625	66057.7890625	68091.9140625	65428.1171875	583.032165527344	"[92][M+1]-"	""	"12"
"1166"	845.631249645422	845.631072122339	845.631771976111	555.953	551.855	562.105	3	3	8038.21044921875	4253.0419921875	4611.40185546875	6070.4677734375	31331.37109375	""	""	"16"
"1167"	846.582933922935	846.582672525256	846.583388825952	369.387	368.486	375.537	3	3	53030.71484375	53015.91796875	62071.95703125	61797.62890625	1153.8955078125	"[92][M+2]-"	""	"12"
"1168"	847.587824519721	847.586971722674	847.587970663895	369.387	368.486	375.537	3	3	21686.36328125	22437.294921875	25549.064453125	26745.00390625	0	"[92][M+3]-"	""	"12"
"1169"	848.595087237188	848.594653221918	848.595346857903	367.337	366.446	375.537	3	3	10855.4345703125	11244.27734375	10754.1201171875	12213.142578125	5875.19873046875	""	"[2M-H+Cl]2- 831.595"	"63"
"1170"	850.499962965973	850.498671117303	850.500021436933	326.333	322.322	328.383	3	3	36825.11328125	28185.751953125	32651.466796875	38433.69921875	8537.595703125	""	"[M+Cl]- 815.536"	"72"
"1171"	854.589646710521	854.589556175716	854.589899796281	357.086	356.285	363.236	3	3	18425.427734375	26809.478515625	23590.009765625	22944.96484375	2640.85791015625	""	"[M-H]- 855.592"	"140"
"1172"	857.518224212373	857.518173983211	857.51830371893	409.7	404.24	422.692	3	3	122876.8359375	228728	224009.15625	1227.40075683594	741.08349609375	""	""	"78"
"1173"	866.554321686747	866.553778662861	866.554587453905	361.186	360.345	367.337	3	3	89941.125	101321.2109375	96927.2890625	106120.203125	920.775634765625	"[93][M]-"	"[M+Cl]- 831.595"	"63"
"1174"	867.557354201518	867.556963222283	867.557684357416	363.236	360.345	367.337	3	3	46574.40234375	53733.21484375	51819.12890625	55481.33203125	0	"[93][M+1]-"	""	"63"
"1175"	868.569303748766	868.568808129063	868.569583768161	361.186	358.305	365.287	3	3	113703.7421875	135703.25	131551.75	139375.15625	1349.37463378906	"[93][M+2]-"	""	"63"
"1176"	869.572686524722	869.572412379797	869.573122663768	361.186	358.305	365.287	3	3	51598.296875	67160.5625	63006.61328125	66734.3125	986.852661132812	"[93][M+3]-"	""	"63"
"1177"	870.584937572664	870.584633391149	870.585224376435	359.136	358.305	365.287	3	3	128154.953125	154342.609375	166841.28125	168384.640625	906.283569335938	"[93][M+4]-"	""	"63"
"1178"	871.588628373738	871.588233287934	871.588772947724	359.136	358.305	363.236	3	3	62853.21484375	75130.5078125	77519.0625	80331.453125	0	""	""	"63"
"1179"	871.651068814998	871.650710829624	871.651140622563	482.146	478.047	492.399	3	3	10583.7001953125	14273.294921875	12174.966796875	19640.18359375	23262.767578125	"[94][M]-"	""	"92"
"1180"	872.595614008411	872.595554236623	872.595852934772	361.186	358.305	365.287	3	3	30796.892578125	33579.703125	37616.13671875	36589.828125	809.686584472656	""	""	"63"
"1181"	872.653712093668	872.65268672186	872.653971228445	482.146	475.997	494.449	3	3	6469.15771484375	8310.220703125	7074.849609375	11824.3056640625	12583.84765625	"[94][M+1]-"	""	"92"
